message,category
"I filled form but not showing once...","attendance_issue"
"Maam I got disconnected attendance?!!","attendance_issue"
"Class join kiya tha but absent dikha sir","attendance_issue"
"maam is this session for all branches","question"
"recording button nahi dikh raha please","technical_issue"
"hello from Delhi plz","general"
"dm for certificate editing sir","spam"
"maam can you explain again","question"
"Good to be here from my side","general"
"sir good good evening sir??","general"
"screen is pixelated","technical_issue"
"Sir ppt share in whatsapp? today","question"
"You are wasting our time???","abuse"
"Bhai why are you so slow abhi","abuse"
"Ma'am example with real data plz","question"
"bhai hi all","general"
"pls who hired this speaker","abuse"
"CHEAP FOLLOWERS INSTANT DELIVERY AGAIN","spam"
"Dm for certificate editing!!","spam"
"sir earn while watching videos!!","spam"
"please understood sir sir","general"
"best betting tips join now please???","spam"
"voice cut cut aa rahi yaar","technical_issue"
"present sir but mic issue tha please","attendance_issue"
"This webinar is a joke mam","abuse"
"link attendance ka bhejiye??","attendance_issue"
"admin sleeping kya yaar","abuse"
"yes yes","general"
"useless content again mam","abuse"
"sir prerequisites kya hain??","question"
"LAGGING TOO MUCH TODAY","technical_issue"
"sir webcam nahi chal rha please","technical_issue"
"Excuse me will certificate be provided please","question"
"Pls will we get recording on mail jaldi","question"
"webinar certificate hack dm","spam"
"ma'am deadline extend ho sakti hai? in webinar???","question"
"host is so annoying","abuse"
"Ok noted","general"
"MAAM OK NOTED...","general"
"admin speaker is completely confused","abuse"
"sir screen rotate ho gayi","technical_issue"
"CHAT LOAD NAHI HO RAHA","technical_issue"
"excuse me sir tab share nahi hua","technical_issue"
"Connection reconnecting again please","technical_issue"
"poll option nahi aa raha now","technical_issue"
"typing job genuine payment","spam"
"hello sir app baar baar crash ho rha urgent","technical_issue"
"faltu sesion hai pls","abuse"
"joined late due to net issue attendance milegi? pls","attendance_issue"
"ma'am please consider attendence","attendance_issue"
"thanks team","general"
"Sir this webinar is stupid...","abuse"
"sir recording milegi? na","question"
"Attendence abhi tak nahi lagi","attendance_issue"
